name,category,subcategory
"Callie 14k Gold Plated Effie Butterfly Statement Stud Earrings Shop.Callie",Jewelry,Earrings
"Callie Tulip Flower Jewelry Case Gift Packaging for Mother's Day Shop.Callie",Accessories,Gift Packaging
"Callie Stainless Steel Prudence Patterned Gem Ring Shop.Callie",Jewelry,Rings
"Callie Stainless Steel Dorothea Flower Necklace Shop.Callie",Jewelry,Necklaces
"Callie 14k Gold Plated Everyday Mini Ear Huggies Earrings Collection Shop.Callie",Jewelry,Earrings
"Callie Stainless Steel Reese Braided Chain Necklace Shop.Callie",Jewelry,Necklaces
"Callie 18k Rose Gold Plated Odile Floral Pearl Stud Earrings Shop.Callie",Jewelry,Earrings
"Callie Stainless Steel Eloise Minimalist Paperclip Pearl Bracelet Shop.Callie",Jewelry,Bracelets
"Callie Limited Edition Mirror Bag Charm",Accessories,Charms
"Callie 14k Gold Plated Premium Minimalist Adjustable Gold Bangle Shop.Callie",Jewelry,Bracelets
